District CODE,District,CODE,ID in District,Health Centers,HSAs/HC
32,Mulanje,3202,7,Chambe,19
32,Mulanje,3206,8,Kambenje,10
32,Mulanje,3205,9,Dzenje,1
32,Mulanje,3208,10,Milonde,6
32,Mulanje,3211,11,Mulanje DHO,5
32,Mulanje,3203,12,Chinyama,6
32,Mulanje,3218,13,Thembe,1
32,Mulanje,3204,14,Chonde,Not yet trained`
32,Mulanje,3207,15,Mbiza,Not yet trained
32,Mulanje,3212,16,Mulanje Mission,Not yet trained
32,Mulanje,3214,17,Muloza,Not yet trained
32,Mulanje,3215,18,Namasalima,Not yet trained
32,Mulanje,3216,19,Namphungo,Not yet trained
32,Mulanje,3217,20,Namulenga,Not yet trained
11,Nkhotakota,1104,1,Dwambazi,4
11,Nkhotakota,1150,2,Lupachi,3
11,Nkhotakota,1151,3,Kasitu,4
11,Nkhotakota,1110,4,Ngala,7
11,Nkhotakota,1112,5,Nkhunga,7
11,Nkhotakota,1152,6,Dwangwa Cane Growers,1
11,Nkhotakota,1106,7,Liwaladzi,5
11,Nkhotakota,1153,8,Msenjere,5
11,Nkhotakota,1114,9,Katimbira,5
11,Nkhotakota,1102,10,Bua,4
11,Nkhotakota,1111,11,DHO/ST,28
11,Nkhotakota,1107,12,Mpamantha,4
11,Nkhotakota,1103,13,Chididi,3
11,Nkhotakota,1105,14,Kapiri,7
11,Nkhotakota,1116,15,Malowa,4
11,Nkhotakota,1109,16,Mwansambo,9
11,Nkhotakota,1101,17,Benga,6
11,Nkhotakota,1108,18,Ntosa,1
11,Nkhotakota,1113,19,Alinafe,10
34,Nsanje,3403,1,Lurwe,
34,Nsanje,3408,2,Ndamera,9
34,Nsanje,3406,3,Mbenje,11
34,Nsanje,3409,4,Nsanje DH,8
34,Nsanje,3401,5,Chididi,3
34,Nsanje,3413,6,Tengani,7
34,Nsanje,3410,7,Nyamithuthu,2
34,Nsanje,3417,8,Phokera,3
34,Nsanje,3402,9,Kalemba,7
34,Nsanje,3412,10,Sorgin,7
34,Nsanje,3414,11,Trinity,6
34,Nsanje,3405,12,Masenjere,4
34,Nsanje,3411,13,Sankhulani,4
34,Nsanje,3404,14,Makhanga,2
10,Kasungu,1005,1,Kaluluma,7
10,Kasungu,1017,2,Mpepa/Chisinga,6
10,Kasungu,1016,3,Wimbe,6
10,Kasungu,1011,4,Mtunthama,5
10,Kasungu,1050,5,Mziza,2
10,Kasungu,1001,6,Bua,3
10,Kasungu,1012,7,Newa,3
10,Kasungu,1004,8,Dwangwa,0
10,Kasungu,1002,9,Chamwavi,7
10,Kasungu,1051,10,Lodjwa,2
10,Kasungu,1009,11,Kawamba,9
10,Kasungu,1052,12,Khola,2
10,Kasungu,1010,13,Mkhota,3
10,Kasungu,1008,14,Kasungu D.Hospital,6
10,Kasungu,1006,15,Kamboni,3
10,Kasungu,1007,16,Kapelula,6
10,Kasungu,1014,17,Santhe,6
10,Kasungu,1053,18,Gogode,2
10,Kasungu,1054,19,Ofesi,4
10,Kasungu,1055,20,Linyangwa,4
10,Kasungu,1003,21,Chulu,8
10,Kasungu,1015,22,Simlemba,5
10,Kasungu,1013,23,Nkhamenya,6
10,Kasungu,1018,24,Kasalika,0
17,Dedza,1701,1,Bembeke,8
17,Dedza,1702,2,Chikuse,5
17,Dedza,1703,3,Chimoto,6
17,Dedza,1704,4,Chiphwanta ,4
17,Dedza,1705,5,Chitowo,5
17,Dedza,1706,6,Chongoni ,5
17,Dedza,1707,7,Dedza DHO,8
17,Dedza,1708,8,Dzindevu,9
17,Dedza,1709,9,Kafele,8
17,Dedza,1710,10,Kalulu,5
17,Dedza,1711,11,Kanyama ,8
17,Dedza,1712,12,Kanyezi,6
17,Dedza,1713,13,Kaphuka,12
17,Dedza,1714,14,Kasina,5
17,Dedza,1715,15,Lobi,7
17,Dedza,1716,16,Maonde,4
17,Dedza,1717,17,Matumba,4
17,Dedza,1718,18,Mayani,7
17,Dedza,1719,19,Mikondo ,8
17,Dedza,1720,20,Mlangali,5
17,Dedza,1721,21,Mphathi,7
17,Dedza,1722,22,Mphunzi,6
17,Dedza,1723,23,Mtendere ,8
17,Dedza,1724,24,Tsoyo,10
17,Dedza,1750,25,Nakalazi,7
17,Dedza,1751,26,Kaundu,5
17,Dedza,1752,27,Kachindamoto,4
17,Dedza,1753,28,Mtakataka,7
17,Dedza,1754,29,Golomoti,10
17,Dedza,1755,30,Mua,5
17,Dedza,1756,31,Mganja,6
17,Dedza,1757,32,Mjini,7
17,Dedza,1758,33,Mdeza,8
15,Lilongwe,1501,1,Area 18,1
15,Lilongwe,1502,2,Area 25,5
15,Lilongwe,1503,3,Bwaila,3
15,Lilongwe,1504,4,Chokowa,4
15,Lilongwe,1505,5,Chileka,2
15,Lilongwe,1506,6,Chimbalanga,5
15,Lilongwe,1507,7,Chitedze,4
15,Lilongwe,1508,8,Chiunjidza,5
15,Lilongwe,1509,9,Chiwamba,7
15,Lilongwe,1510,10,Chiwe,2
15,Lilongwe,1511,11,Diamphwe,3
15,Lilongwe,1512,12,Dickson,10
15,Lilongwe,1513,13,Dzenza,0
15,Lilongwe,1514,14,Kabudul,2
15,Lilongwe,1515,15,Kang'oma,4
15,Lilongwe,1516,16,Kachale ,3
15,Lilongwe,1517,17,Kawale,0
15,Lilongwe,1518,18,Khongoni,3
15,Lilongwe,1519,19,Likuni,3
15,Lilongwe,1520,20,Lemwe,3
15,Lilongwe,1521,21,Lumbadzi,3
15,Lilongwe,1522,22,Malingunde,2
15,Lilongwe,1523,23,Maluwa,0
15,Lilongwe,1524,24,Matapira,4
15,Lilongwe,1525,25,Mbabvi,4
15,Lilongwe,1526,26,Mbang'ombe I,2
15,Lilongwe,1527,27,Mbang'ombe II,3
15,Lilongwe,1528,28,Mbwatakali,3
15,Lilongwe,1529,29,Ming'ongo,2
15,Lilongwe,1530,30,Mitundu,6
15,Lilongwe,1531,31,Milale,3
15,Lilongwe,1532,32,Mtenthera,3
15,Lilongwe,1533,33,Nambuma,3
15,Lilongwe,1534,34,Nathenje,2
15,Lilongwe,1535,35,Ndaula,2
15,Lilongwe,1536,36,New state house,0
15,Lilongwe,1537,37,Ngoni,3
15,Lilongwe,1538,38,Nkhoma,4
15,Lilongwe,1539,39,Nsaru,3
15,Lilongwe,1540,40,Nthondo,3
15,Lilongwe,1541,41,St Gabriel,1
15,Lilongwe,1542,42,Ukwe,5
15,Lilongwe,1543,43,Dzalanyama,1
15,Lilongwe,1544,44,Police Area 30,0
15,Lilongwe,1545,45,Kamuzu Barracks,0
15,Lilongwe,1546,46,Khasu,2
99,Test,9901,01,Test Facility 1,5
99,Test,9902,02,Test Facility 2,4
99,Test,9903,03,Test Facility 3,7
